Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240301;SXXP;STOXX Europe 600;EU0009658202;465191;DK0062498333;NOVOb.CO;NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;;356818.865970063;1;1;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;546078;NL0010273215;ASML.AS;ASML HLDG;NL;EUR;Euronext Amsterdam;;350931.9711065;2;2;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;;257109.069372;3;3;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;454005;FR0000121014;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;;217233.089406368;4;4;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;;192475.578350341;5;5;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B09CBL;GB00BP6MXD84;SHEL.AS;SHELL;GB;EUR;Euronext Amsterdam;;191060.66765528;6;6;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;476361;DE0007164600;SAPG.DE;SAP;DE;EUR;XETRA;;187577.382429991;7;9;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;098952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;;180862.633690576;8;7;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;474577;CH0012032048;ROG.S;ROCHE HLDG P;CH;CHF;Six Swiss Exchange;;171014.208989912;9;8;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;490541;FR0000120271;TTEF.PA;TOTALENERGIES;FR;EUR;Euronext Paris;;142298.73574665;10;10;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;040054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;;139234.884841372;11;11;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;480710;DE0007236101;SIEGn.DE;SIEMENS;DE;EUR;XETRA;;137014.7424;12;12;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;483410;FR0000121972;SCHN.PA;SCHNEIDER ELECTRIC;FR;EUR;Euronext Paris;;120180.9684632;13;16;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;091321;GB00B10RZP78;ULVR.L;UNILEVER PLC;GB;GBP;London SE;;113739.622167329;14;13;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;453478;FR0000120321;OREP.PA;L'OREAL;FR;EUR;Euronext Paris;;106868.914863882;15;14;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;401632;DE0008404005;ALVG.DE;ALLIANZ;DE;EUR;XETRA;;102381.2578846;16;17;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;;100768.723925178;17;15;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;401140;FR0000120073;AIRP.PA;AIR LIQUIDE;FR;EUR;Euronext Paris;;98411.4463033;18;19;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;013849;GB0007980591;BP.L;BP;GB;GBP;London SE;;96321.8089448648;19;18;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;401225;NL0000235190;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;;89714.5957368659;20;20;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;478511;CH0244767585;UBSG.S;UBS GROUP;CH;CHF;Six Swiss Exchange;;84833.702145689;21;21;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;037178;GB00BN7SWP63;GSK.L;GSK;GB;GBP;London SE;;83903.2819862971;22;23;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;441842;FR0000052292;HRMS.PA;HERMES INTERNATIONAL;FR;EUR;Euronext Paris;;81312.622635348;23;30;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;073087;GB00B2B0DG97;REL.L;RELX PLC;GB;GBP;London SE;;78392.5357715776;24;25;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;039600;GB0002374006;DGE.L;DIAGEO;GB;GBP;London SE;;77578.2518821389;25;24;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;473821;CH0210483332;CFR.S;CIE FINANCIERE RICHEMONT;CH;CHF;Six Swiss Exchange;;77020.8937578;26;26;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;511938;DE0005557508;DTEGn.DE;DEUTSCHE TELEKOM;DE;EUR;XETRA;;76234.8190188699;27;22;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;476776;FR0000073272;SAF.PA;SAFRAN;FR;EUR;Euronext Paris;;73466.3776009921;28;32;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;499187;CH0011075394;ZURN.S;ZURICH INSURANCE GROUP;CH;CHF;Six Swiss Exchange;;72187.2320755355;29;29;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;481808;FR0000125486;SGEF.PA;VINCI;FR;EUR;Euronext Paris;;70773.4398048;30;27;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;408580;CH0012221716;ABBN.S;ABB;CH;CHF;Six Swiss Exchange;;69083.4275353629;31;34;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;071887;GB0007188757;RIO.L;RIO TINTO;GB;GBP;London SE;;63719.6564594129;32;28;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;458887;FR0000120628;AXAF.PA;AXA;FR;EUR;Euronext Paris;;62721.5472660856;33;36;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;407228;ES0113900J37;SAN.MC;BCO SANTANDER;ES;EUR;BME Exchange;;62236.1336698845;34;35;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;442464;ES0144580Y14;IBE.MC;IBERDROLA;ES;EUR;BME Exchange;;61579.420499916;35;33;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;413366;FR0000131104;BNPP.PA;BNP PARIBAS;FR;EUR;Euronext Paris;;60045.8427404559;36;31;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;430376;FR0000121667;ESLX.PA;ESSILORLUXOTTICA;FR;EUR;Euronext Paris;;60044.1231414931;37;38;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;425240;DE0007100000;MBGn.DE;MERCEDES-BENZ GROUP;DE;EUR;XETRA;;58898.043406777;38;42;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;461075;DE0008430026;MUVGn.DE;MUENCHENER RUECK;DE;EUR;XETRA;;58735.89176;39;39;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;423244;IT0005239360;CRDI.MI;UNICREDIT;IT;EUR;Borsa Italiana;;55163.9358028;40;46;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;433560;NL00150001Q9;STLAM.MI;STELLANTIS;IT;EUR;Borsa Italiana;;55135.6697799263;41;47;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;028758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;;54941.5461108435;42;37;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;550190;ES0113211835;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;BME Exchange;;54798.83502393;43;40;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;018270;IE0001827041;CRH.L;CRH;GB;GBP;London SE;;53708.1052454452;44;50;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;475531;BE0974293251;ABI.BR;ANHEUSER-BUSCH INBEV;BE;EUR;Euronext Brussels;;50082.5737621271;45;41;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;407683;IT0000072618;ISP.MI;INTESA SANPAOLO;IT;EUR;Borsa Italiana;;47397.9954903514;46;49;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;095298;GB00B0SWJX34;LSEG.L;LONDON STOCK EXCHANGE;GB;GBP;London SE;;47213.4400889188;47;48;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;579802;IT0003128367;ENEI.MI;ENEL;IT;EUR;Borsa Italiana;;45701.2627432632;48;45;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;711131;ES0148396007;ITX.MC;Industria de Diseno Textil SA;ES;EUR;BME Exchange;;45578.436212232;49;54;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;IT509P;NL0011585146;RACE.MI;FERRARI;IT;EUR;Borsa Italiana;;45578.1735183883;50;65;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;053315;GB00BD6K4575;CPG.L;COMPASS GRP;GB;GBP;London SE;;45287.2828592232;51;52;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;024282;GB00BDR05C01;NG.L;NATIONAL GRID;GB;GBP;London SE;;44751.0690536345;52;51;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;012715;GB0002634946;BAES.L;BAE SYSTEMS;GB;GBP;London SE;;44097.4201782117;53;57;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB10B3;JE00B4T3BW64;GLEN.L;GLENCORE PLC;GB;GBP;London SE;;43762.447642272;54;43;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;448816;NL0011821202;INGA.AS;ING GRP;NL;EUR;Euronext Amsterdam;;43350.2505915593;55;53;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;588950;DE0006231004;IFXGn.DE;INFINEON TECHNOLOGIES;DE;EUR;XETRA;;43219.460029015;56;55;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;072769;GB00B24CGK77;RKT.L;RECKITT BENCKISER GRP;GB;GBP;London SE;;43029.8448962513;57;44;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;446963;SE0015811963;INVEb.ST;INVESTOR B;SE;SEK;NASDAQ Stockholm;;42369.5112033968;58;60;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;408348;DE000BASF111;BASFn.DE;BASF;DE;EUR;XETRA;;42015.4808703;59;61;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NL901I;NL0013654783;PRX.AS;Prosus;NL;EUR;Euronext Amsterdam;;41805.4655752989;60;56;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NL802I;NL0012969182;ADYEN.AS;ADYEN;NL;EUR;Euronext Amsterdam;;41788.362352846;61;77;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;405097;SE0017486889;ATCOa.ST;ATLAS COPCO A;SE;SEK;NASDAQ Stockholm;;41388.4009621724;62;64;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;461785;DE0005552004;DHLn.DE;DEUTSCHE POST;DE;EUR;XETRA;;41364.7345288678;63;58;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;480808;CH0418792922;SIKA.S;SIKA;CH;CHF;Six Swiss Exchange;;40748.5928557766;64;63;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;493117;SE0000115446;VOLVb.ST;VOLVO B;SE;SEK;NASDAQ Stockholm;;40444.0046664667;65;69;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;442048;CH0012214059;HOLN.S;Holcim;CH;CHF;Six Swiss Exchange;;40194.9419828136;66;66;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;478184;FI4000297767;NDAFI.HE;NORDEA BANK;FI;EUR;NASDAQ Helsinki;;39737.77602424;67;59;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH90EG;CH0432492467;ALCC.S;ALCON;CH;CHF;Six Swiss Exchange;;39424.33724637;68;71;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;416343;FR0000125338;CAPP.PA;CAP GEMINI;FR;EUR;Euronext Paris;;39003.9007911;69;67;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;407023;FR0000120644;DANO.PA;DANONE;FR;EUR;Euronext Paris;;37862.053918781;70;62;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;702196;DE0005810055;DB1Gn.DE;DEUTSCHE BOERSE;DE;EUR;XETRA;;36784;71;70;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;038470;GB00B19NLV48;EXPN.L;EXPERIAN;GB;GBP;London SE;;36353.9360319166;72;68;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;074776;GB00B63H8491;RR.L;ROLLS ROYCE HLDG;GB;GBP;London SE;;36313.3046987817;73;84;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;497711;NL0000395903;WLSNc.AS;WOLTERS KLUWER;NL;EUR;Euronext Amsterdam;;36246.08091505;74;74;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;579422;CH0013841017;LONN.S;LONZA;CH;CHF;Six Swiss Exchange;;36105.1190658342;75;73;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;476837;FR0000125007;SGOB.PA;SAINT GOBAIN;FR;EUR;Euronext Paris;;36057.0518104;76;78;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;025881;IE00BWT6H894;FLTRF.L;FLUTTER ENTERTAINMENT;GB;GBP;London SE;;35345.8614559626;77;76;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;087061;GB0008706128;LLOY.L;LLOYDS BANKING GRP;GB;GBP;London SE;;34597.9413493548;78;79;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;408522;DE0005190003;BMWG.DE;BMW;DE;EUR;XETRA;;32574.5254464663;79;87;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;478165;CH0126881561;SRENH.S;SWISS REINSURANCE COMPANY;CH;CHF;Six Swiss Exchange;;32335.6971413058;80;81;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;533004;FR0014003TT8;DAST.PA;DASSAULT SYSTEMS;FR;EUR;Euronext Paris;;31196.7291891363;81;72;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;403197;DE000A1EWWW0;ADSGn.DE;ADIDAS;DE;EUR;XETRA;;31115.06208;82;86;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;468232;FR0000120693;PERP.PA;PERNOD RICARD;FR;EUR;Euronext Paris;;30946.525799723;83;82;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;598061;CH0010645932;GIVN.S;GIVAUDAN;CH;CHF;Six Swiss Exchange;;30942.1567738973;84;80;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;470384;FR0000121485;PRTP.PA;Kering;FR;EUR;Euronext Paris;;30306.1429756775;85;94;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B119QG;CH0024608827;PGHN.S;PARTNERS GRP HLDG;CH;CHF;Six Swiss Exchange;;30209.2621192907;86;88;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;443639;IT0003132476;ENI.MI;ENI;IT;EUR;Borsa Italiana;;29995.3864288258;87;75;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;906045;GB0000536739;AHT.L;ASHTEAD GRP;GB;GBP;London SE;;29967.2207360089;88;93;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;007820;GB0031348658;BARC.L;BARCLAYS;GB;GBP;London SE;;28978.3563263933;89;105;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;088869;GB00B1YW4409;III.L;3I GROUP PLC.;GB;GBP;London SE;;28079.7382793283;90;90;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;408530;DE000BAY0017;BAYGn.DE;BAYER;DE;EUR;XETRA;;27596.29246338;91;89;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B0C2CQ;FR0010208488;ENGIE.PA;ENGIE;FR;EUR;Euronext Paris;;27588.7827999525;92;92;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;477670;NL0000226223;STMMI.MI;STMICROELECTRONICS;IT;EUR;Borsa Italiana;;27572.9541313459;93;95;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB20WP;GB00BMX86B70;HLN.L;HALEON;GB;GBP;London SE;;26618.7617341555;94;109;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;587296;DK0060079531;DSV.CO;DSV;DK;DKK;NASDAQ Copenhagen;;26479.2431313501;95;83;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;401093;NL0011794037;AD.AS;AHOLD DELHAIZE;NL;EUR;Euronext Amsterdam;;26439.91716608;96;102;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;888051;NL0000334118;ASMI.AS;ASM INTERNATIONAL;NL;EUR;Euronext Amsterdam;;26341.559668685;97;106;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;400930;SE0007100581;ASSAb.ST;ASSA ABLOY;SE;SEK;NASDAQ Stockholm;;26146.4913429168;98;101;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;544489;DK0061539921;VWS.CO;VESTAS WIND SYSTEMS;DK;DKK;NASDAQ Copenhagen;;26003.4990496175;99;97;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;EG7;DE0007664039;VOWG_p.DE;VOLKSWAGEN PREF;DE;EUR;XETRA;;25845.7904763;100;103;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;426724;DE0005140008;DBKGn.DE;DEUTSCHE BANK;DE;EUR;XETRA;;25221.483459158;101;104;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;070995;GB0007099541;PRU.L;PRUDENTIAL;GB;GBP;London SE;;25025.1454457046;102;98;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;490151;GB00B1XZS820;AAL.L;ANGLO AMERICAN;GB;GBP;London SE;;24736.2055503066;103;91;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B11ZRK;FR0010307819;LEGD.PA;LEGRAND;FR;EUR;Euronext Paris;;24686.925802;104;107;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;441930;NL0000009165;HEIN.AS;HEINEKEN;NL;EUR;Euronext Amsterdam;;24596.1513869098;105;96;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;ES0017;ES0109067019;AMA.MC;AMADEUS IT GROUP;ES;EUR;BME Exchange;;24498.1467679;106;85;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;458836;FR001400AJ45;MICP.PA;MICHELIN;FR;EUR;Euronext Paris;;24444.35883734;107;114;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;405671;IT0000062072;GASI.MI;ASSICURAZIONI GENERALI;IT;EUR;Borsa Italiana;;24233.2297842101;108;111;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;492752;DE000ENAG999;EONGn.DE;E.ON;DE;EUR;XETRA;;23975.6892065208;109;100;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;470774;FR0000130577;PUBP.PA;PUBLICIS GRP;FR;EUR;Euronext Paris;;23232.8771526284;110;113;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE70AN;SE0012673267;EVOG.ST;EVOLUTION;SE;SEK;NASDAQ Stockholm;;23144.7416450775;111;120;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;088470;GB00BLGZ9862;TSCO.L;TESCO;GB;GBP;London SE;;23083.1955607831;112;108;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B096C6;SE0015961909;HEXAb.ST;HEXAGON B;SE;SEK;NASDAQ Stockholm;;23020.4147019828;113;117;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;713360;NO0010096985;EQNR.OL;EQUINOR;NO;NOK;Oslo Bors;;22606.947692343;114;99;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;477472;SE0000667891;SAND.ST;SANDVIK;SE;SEK;NASDAQ Stockholm;;22380.2987921856;115;119;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;481334;SE0000148884;SEBa.ST;SKANDINAVISKA ENSKILDA BK A;SE;SEK;NASDAQ Stockholm;;22223.7002570873;116;118;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;488082;ES0178430E18;TEF.MC;TELEFONICA;ES;EUR;BME Exchange;;21811.487743985;117;115;;;
